city,topic,variables,target,trainR2,testR2,spatialres
boston,Crime,gsv,logcrime,0.2601695834034479,0.1393680518912616,ct
boston,Crime,gsv,logpetty,0.21041699141854164,0.10552657272515616,ct
boston,Health,gsv,bphighcrud,0.36907772595072547,0.32352040657472075,ct
boston,Health,gsv,cancercrud,0.5264848583406543,0.48063567180975425,ct
boston,Health,gsv,diabetescr,0.3563233088252517,0.2940945678467407,ct
boston,Health,gsv,lpacrudepr,0.5048440279985694,0.41731289270776184,ct
boston,Health,gsv,mhlthcrude,0.46875320539044196,0.4094512780586944,ct
boston,Health,gsv,obesitycru,0.4074580851854165,0.32721670883171927,ct
boston,Health,gsv,phlthcrude,0.4373356246007602,0.36673232941289036,ct
boston,Non-vehicle Travel,gsv,publictrans_per_ct,0.6462017621140811,0.6070626539727779,ct
boston,Non-vehicle Travel,gsv,walkbike_per_ct,0.7728698806065218,0.7459486010916787,ct
boston,Poverty,gsv,logincome,0.5429830599716015,0.4909207575590931,ct
boston,Poverty,gsv,povertyline_below100,0.46288816010632994,0.40852194484073284,ct
boston,Poverty,gsv,povertyline_below200,0.5516306860235292,0.49692648369875503,ct
boston,Vehicle Travel,gsv,drove_alone_per_ct,0.8081208656578032,0.7767264609522124,ct
boston,Vehicle Travel,gsv,estpmiles,0.7945194207941071,0.7803702995333911,ct
boston,Vehicle Travel,gsv,estptrp,0.5561691684318559,0.5057356828464208,ct
boston,Vehicle Travel,gsv,estvmiles,0.8459841498756372,0.8257976628581891,ct
boston,Vehicle Travel,gsv,estvtrp,0.8348526335835824,0.8144528003210304,ct
chicago,Crime,gsv,logcrime,0.44496003432574555,0.3581608677888773,ct
chicago,Crime,gsv,logpetty,0.2844592459415637,0.157067367642944,ct
chicago,Health,gsv,bphighcrud,0.5705084817288757,0.5461603323437813,ct
chicago,Health,gsv,cancercrud,0.40848271425370736,0.3712879339129449,ct
chicago,Health,gsv,diabetescr,0.6195133715439752,0.5935358488091879,ct
chicago,Health,gsv,lpacrudepr,0.598824995129838,0.5759485436939797,ct
chicago,Health,gsv,mhlthcrude,0.5152808414490495,0.4897389167422685,ct
chicago,Health,gsv,obesitycru,0.5577779729570093,0.52625622068285,ct
chicago,Health,gsv,phlthcrude,0.5919710445247885,0.5703111532712134,ct
